2025-10-07 13:16:00.794 INFO: ===========VERIFYING SETTINGS===========
2025-10-07 13:16:00.797 INFO: MACE version: 0.3.14
2025-10-07 13:16:00.798 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-07 13:16:00.802 INFO: ===========LOADING INPUT DATA===========
2025-10-07 13:16:00.803 INFO: Using heads: ['Default']
2025-10-07 13:16:00.804 INFO: Using the key specifications to parse data:
2025-10-07 13:16:00.805 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-07 13:16:00.806 INFO: =============    Processing head Default     ===========
2025-10-07 13:16:01.084 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 13:16:01.088 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 13:16:01.175 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 13:16:01.177 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 13:16:01.474 INFO: Test set 1/1 [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 13:16:01.478 INFO: Total Test set [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 13:16:01.479 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 389],
2025-10-07 13:16:01.487 INFO: Atomic Numbers used: [8, 72]
2025-10-07 13:16:01.489 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-07 13:16:01.490 INFO: Atomic Energies used (z: eV) for head Default: {8: -444.4382601985303, 72: -1528.3129784907499}
2025-10-07 13:16:01.491 INFO: Processing datasets for head 'Default'
2025-10-07 13:16:03.809 INFO: Combining 1 list datasets for head 'Default'
2025-10-07 13:16:04.454 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-07 13:16:04.456 INFO: Combined validation datasets for Default
2025-10-07 13:16:04.457 INFO: Head 'Default' training dataset size: 361
2025-10-07 13:16:04.459 INFO: Computing average number of neighbors
2025-10-07 13:16:04.731 INFO: Average number of neighbors: 59.42249876428343
2025-10-07 13:16:04.733 INFO: During training the following quantities will be reported: energy, forces
2025-10-07 13:16:04.734 INFO: ===========MODEL DETAILS===========
2025-10-07 13:16:04.977 INFO: Building model
2025-10-07 13:16:04.979 INFO: Message passing with 256 channels and max_L=1 (256x0e + 256x1o)
2025-10-07 13:16:04.980 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-07 13:16:04.982 INFO: 8 radial and 5 basis functions
2025-10-07 13:16:04.983 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-07 13:16:04.984 INFO: Distance transform for radial basis functions: None
2025-10-07 13:16:04.985 INFO: Hidden irreps: 256x0e + 256x1o
2025-10-07 13:16:06.643 INFO: Total number of parameters: 2276112
2025-10-07 13:16:06.645 INFO: 
2025-10-07 13:16:06.646 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-07 13:16:06.647 INFO: Using ADAM as parameter optimizer
2025-10-07 13:16:06.648 INFO: Batch size: 6
2025-10-07 13:16:06.650 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-07 13:16:06.651 INFO: Number of gradient updates: 15041
2025-10-07 13:16:06.652 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-10-07 13:16:06.653 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-07 13:16:06.654 INFO: Converting model to CUEQ for accelerated training
2025-10-07 13:16:06.758 INFO: Creating new model with cuequivariance settings
2025-10-07 13:16:07.333 INFO: Stage Two (after 186 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-07 13:16:07.437 INFO: Using Weights and Biases for logging
2025-10-07 13:16:13.593 INFO: Using gradient clipping with tolerance=10.000
2025-10-07 13:16:13.595 INFO: 
2025-10-07 13:16:13.596 INFO: ===========TRAINING===========
2025-10-07 13:16:13.597 INFO: Started training, reporting errors on validation set
2025-10-07 13:16:13.598 INFO: Loss metrics on validation set
2025-10-07 13:16:14.291 INFO: Initial: head: Default, loss=18.01621703, RMSE_E_per_atom= 7278.61 meV, RMSE_F= 1128.96 meV / A
2025-10-07 13:16:22.301 INFO: Epoch 0: head: Default, loss=2.92314917, RMSE_E_per_atom= 1712.09 meV, RMSE_F=  511.58 meV / A
2025-10-07 13:16:29.646 INFO: Epoch 1: head: Default, loss=3.07022035, RMSE_E_per_atom= 1067.00 meV, RMSE_F=  542.05 meV / A
2025-10-07 13:16:37.535 INFO: Epoch 2: head: Default, loss=1.56873172, RMSE_E_per_atom=  790.62 meV, RMSE_F=  387.50 meV / A
2025-10-07 13:16:45.588 INFO: Epoch 3: head: Default, loss=1.08752321, RMSE_E_per_atom=  573.85 meV, RMSE_F=  324.26 meV / A
2025-10-07 13:16:53.633 INFO: Epoch 4: head: Default, loss=0.89038134, RMSE_E_per_atom=  431.37 meV, RMSE_F=  294.29 meV / A
2025-10-07 13:17:02.020 INFO: Epoch 5: head: Default, loss=0.80548236, RMSE_E_per_atom=  405.01 meV, RMSE_F=  279.91 meV / A
2025-10-07 13:17:10.098 INFO: Epoch 6: head: Default, loss=0.72717796, RMSE_E_per_atom=  356.80 meV, RMSE_F=  266.23 meV / A
2025-10-07 13:17:18.100 INFO: Epoch 7: head: Default, loss=0.66844563, RMSE_E_per_atom=  320.10 meV, RMSE_F=  255.53 meV / A
2025-10-07 13:17:26.210 INFO: Epoch 8: head: Default, loss=0.61577124, RMSE_E_per_atom=  291.93 meV, RMSE_F=  245.45 meV / A
2025-10-07 13:17:34.237 INFO: Epoch 9: head: Default, loss=0.56757461, RMSE_E_per_atom=  268.29 meV, RMSE_F=  235.81 meV / A
2025-10-07 13:17:42.321 INFO: Epoch 10: head: Default, loss=0.54915474, RMSE_E_per_atom=  260.65 meV, RMSE_F=  231.99 meV / A
2025-10-07 13:17:49.699 INFO: Epoch 11: head: Default, loss=0.55601672, RMSE_E_per_atom=  268.40 meV, RMSE_F=  233.41 meV / A
2025-10-07 13:17:57.632 INFO: Epoch 12: head: Default, loss=0.51474834, RMSE_E_per_atom=  242.24 meV, RMSE_F=  224.69 meV / A
2025-10-07 13:18:05.778 INFO: Epoch 13: head: Default, loss=0.48937718, RMSE_E_per_atom=  227.72 meV, RMSE_F=  219.16 meV / A
2025-10-07 13:18:13.846 INFO: Epoch 14: head: Default, loss=0.46678039, RMSE_E_per_atom=  212.10 meV, RMSE_F=  214.07 meV / A
2025-10-07 13:18:21.977 INFO: Epoch 15: head: Default, loss=0.44854248, RMSE_E_per_atom=  212.81 meV, RMSE_F=  209.69 meV / A
2025-10-07 13:18:30.081 INFO: Epoch 16: head: Default, loss=0.43849203, RMSE_E_per_atom=  202.41 meV, RMSE_F=  207.37 meV / A
2025-10-07 13:18:38.145 INFO: Epoch 17: head: Default, loss=0.42344855, RMSE_E_per_atom=  196.52 meV, RMSE_F=  203.75 meV / A
2025-10-07 13:18:46.286 INFO: Epoch 18: head: Default, loss=0.41324869, RMSE_E_per_atom=  186.00 meV, RMSE_F=  201.34 meV / A
2025-10-07 13:18:54.351 INFO: Epoch 19: head: Default, loss=0.40464112, RMSE_E_per_atom=  185.45 meV, RMSE_F=  199.36 meV / A
2025-10-07 13:19:02.493 INFO: Epoch 20: head: Default, loss=0.38676077, RMSE_E_per_atom=  169.51 meV, RMSE_F=  194.90 meV / A
2025-10-07 13:19:09.970 INFO: Epoch 21: head: Default, loss=0.40526291, RMSE_E_per_atom=  159.52 meV, RMSE_F=  199.57 meV / A
2025-10-07 13:19:17.875 INFO: Epoch 22: head: Default, loss=0.37640139, RMSE_E_per_atom=  159.23 meV, RMSE_F=  192.36 meV / A
2025-10-07 13:19:25.927 INFO: Epoch 23: head: Default, loss=0.35950912, RMSE_E_per_atom=  147.43 meV, RMSE_F=  188.01 meV / A
2025-10-07 13:19:33.944 INFO: Epoch 24: head: Default, loss=0.34871325, RMSE_E_per_atom=  137.68 meV, RMSE_F=  185.17 meV / A
2025-10-07 13:19:42.189 INFO: Epoch 25: head: Default, loss=0.34037293, RMSE_E_per_atom=  136.43 meV, RMSE_F=  182.84 meV / A
2025-10-07 13:19:50.282 INFO: Epoch 26: head: Default, loss=0.32993359, RMSE_E_per_atom=  131.57 meV, RMSE_F=  179.97 meV / A
2025-10-07 13:19:58.330 INFO: Epoch 27: head: Default, loss=0.32320525, RMSE_E_per_atom=  136.13 meV, RMSE_F=  178.07 meV / A
2025-10-07 13:20:06.382 INFO: Epoch 28: head: Default, loss=0.31760417, RMSE_E_per_atom=  132.05 meV, RMSE_F=  176.57 meV / A
2025-10-07 13:20:14.388 INFO: Epoch 29: head: Default, loss=0.31165310, RMSE_E_per_atom=  124.75 meV, RMSE_F=  174.92 meV / A
2025-10-07 13:20:22.498 INFO: Epoch 30: head: Default, loss=0.30653376, RMSE_E_per_atom=  124.11 meV, RMSE_F=  173.46 meV / A
2025-10-07 13:20:29.889 INFO: Epoch 31: head: Default, loss=0.33233809, RMSE_E_per_atom=  122.01 meV, RMSE_F=  180.91 meV / A
2025-10-07 13:20:37.687 INFO: Epoch 32: head: Default, loss=0.30604779, RMSE_E_per_atom=  121.37 meV, RMSE_F=  173.44 meV / A
