2025-10-07 13:54:11.780 INFO: ===========VERIFYING SETTINGS===========
2025-10-07 13:54:11.796 INFO: MACE version: 0.3.14
2025-10-07 13:54:11.797 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-07 13:54:11.801 INFO: ===========LOADING INPUT DATA===========
2025-10-07 13:54:11.802 INFO: Using heads: ['Default']
2025-10-07 13:54:11.803 INFO: Using the key specifications to parse data:
2025-10-07 13:54:11.804 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-07 13:54:11.806 INFO: =============    Processing head Default     ===========
2025-10-07 13:54:12.089 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 13:54:12.093 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 13:54:12.186 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 13:54:12.189 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 13:54:12.484 INFO: Test set 1/1 [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 13:54:12.488 INFO: Total Test set [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 13:54:12.490 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 389],
2025-10-07 13:54:12.498 INFO: Atomic Numbers used: [8, 72]
2025-10-07 13:54:12.499 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-07 13:54:12.501 INFO: Atomic Energies used (z: eV) for head Default: {8: -444.4382601985303, 72: -1528.3129784907499}
2025-10-07 13:54:12.502 INFO: Processing datasets for head 'Default'
2025-10-07 13:54:14.877 INFO: Combining 1 list datasets for head 'Default'
2025-10-07 13:54:15.527 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-07 13:54:15.529 INFO: Combined validation datasets for Default
2025-10-07 13:54:15.530 INFO: Head 'Default' training dataset size: 361
2025-10-07 13:54:15.532 INFO: Computing average number of neighbors
2025-10-07 13:54:15.710 INFO: Average number of neighbors: 59.332753814334104
2025-10-07 13:54:15.711 INFO: During training the following quantities will be reported: energy, forces
2025-10-07 13:54:15.713 INFO: ===========MODEL DETAILS===========
2025-10-07 13:54:15.868 INFO: Building model
2025-10-07 13:54:15.870 INFO: Message passing with 128 channels and max_L=0 (128x0e)
2025-10-07 13:54:15.871 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-07 13:54:15.873 INFO: 8 radial and 5 basis functions
2025-10-07 13:54:15.874 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-07 13:54:15.875 INFO: Distance transform for radial basis functions: None
2025-10-07 13:54:15.876 INFO: Hidden irreps: 128x0e
2025-10-07 13:54:17.008 INFO: Total number of parameters: 460176
2025-10-07 13:54:17.009 INFO: 
2025-10-07 13:54:17.011 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-07 13:54:17.012 INFO: Using ADAM as parameter optimizer
2025-10-07 13:54:17.013 INFO: Batch size: 14
2025-10-07 13:54:17.014 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-07 13:54:17.015 INFO: Number of gradient updates: 6446
2025-10-07 13:54:17.016 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-10-07 13:54:17.017 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-07 13:54:17.018 INFO: Converting model to CUEQ for accelerated training
2025-10-07 13:54:17.109 INFO: Creating new model with cuequivariance settings
2025-10-07 13:54:18.136 INFO: Stage Two (after 186 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-07 13:54:18.202 INFO: Using Weights and Biases for logging
2025-10-07 13:54:21.514 INFO: Using gradient clipping with tolerance=10.000
2025-10-07 13:54:21.516 INFO: 
2025-10-07 13:54:21.517 INFO: ===========TRAINING===========
2025-10-07 13:54:21.518 INFO: Started training, reporting errors on validation set
2025-10-07 13:54:21.519 INFO: Loss metrics on validation set
2025-10-07 13:54:41.062 INFO: Initial: head: Default, loss=18.03459291, RMSE_E_per_atom= 7285.76 meV, RMSE_F= 1129.33 meV / A
2025-10-07 13:55:16.373 INFO: Epoch 0: head: Default, loss=8.80305510, RMSE_E_per_atom= 5644.10 meV, RMSE_F=  749.55 meV / A
2025-10-07 13:55:34.325 INFO: Epoch 1: head: Default, loss=8.40739130, RMSE_E_per_atom= 5539.38 meV, RMSE_F=  730.13 meV / A
2025-10-07 13:55:37.229 INFO: Epoch 2: head: Default, loss=4.41801923, RMSE_E_per_atom= 3006.28 meV, RMSE_F=  589.06 meV / A
2025-10-07 13:55:40.214 INFO: Epoch 3: head: Default, loss=2.40434737, RMSE_E_per_atom= 1094.40 meV, RMSE_F=  475.26 meV / A
2025-10-07 13:55:43.216 INFO: Epoch 4: head: Default, loss=1.72278251, RMSE_E_per_atom=  562.27 meV, RMSE_F=  409.53 meV / A
2025-10-07 13:55:46.113 INFO: Epoch 5: head: Default, loss=1.48077710, RMSE_E_per_atom=  419.12 meV, RMSE_F=  381.02 meV / A
2025-10-07 13:55:49.038 INFO: Epoch 6: head: Default, loss=1.30542913, RMSE_E_per_atom=  337.49 meV, RMSE_F=  357.78 meV / A
2025-10-07 13:55:51.955 INFO: Epoch 7: head: Default, loss=1.13273384, RMSE_E_per_atom=  282.93 meV, RMSE_F=  333.43 meV / A
2025-10-07 13:55:54.877 INFO: Epoch 8: head: Default, loss=0.99297841, RMSE_E_per_atom=  243.48 meV, RMSE_F=  312.73 meV / A
2025-10-07 13:55:57.811 INFO: Epoch 9: head: Default, loss=0.89310480, RMSE_E_per_atom=  222.03 meV, RMSE_F=  296.82 meV / A
2025-10-07 13:56:00.722 INFO: Epoch 10: head: Default, loss=0.82287547, RMSE_E_per_atom=  198.22 meV, RMSE_F=  284.83 meV / A
2025-10-07 13:56:03.498 INFO: Epoch 11: head: Default, loss=0.80347832, RMSE_E_per_atom=  215.22 meV, RMSE_F=  281.33 meV / A
2025-10-07 13:56:06.452 INFO: Epoch 12: head: Default, loss=0.75131332, RMSE_E_per_atom=  190.71 meV, RMSE_F=  272.21 meV / A
2025-10-07 13:56:09.351 INFO: Epoch 13: head: Default, loss=0.71039188, RMSE_E_per_atom=  164.36 meV, RMSE_F=  264.85 meV / A
2025-10-07 13:56:12.348 INFO: Epoch 14: head: Default, loss=0.69060880, RMSE_E_per_atom=  199.16 meV, RMSE_F=  260.89 meV / A
2025-10-07 13:56:15.258 INFO: Epoch 15: head: Default, loss=0.65760713, RMSE_E_per_atom=  174.26 meV, RMSE_F=  254.67 meV / A
2025-10-07 13:56:18.199 INFO: Epoch 16: head: Default, loss=0.62213518, RMSE_E_per_atom=  143.75 meV, RMSE_F=  247.79 meV / A
2025-10-07 13:56:21.116 INFO: Epoch 17: head: Default, loss=0.58792689, RMSE_E_per_atom=  131.21 meV, RMSE_F=  240.80 meV / A
2025-10-07 13:56:24.005 INFO: Epoch 18: head: Default, loss=0.55864178, RMSE_E_per_atom=  119.19 meV, RMSE_F=  234.73 meV / A
2025-10-07 13:56:26.879 INFO: Epoch 19: head: Default, loss=0.53337909, RMSE_E_per_atom=  121.74 meV, RMSE_F=  229.31 meV / A
2025-10-07 13:56:29.819 INFO: Epoch 20: head: Default, loss=0.51195663, RMSE_E_per_atom=  123.06 meV, RMSE_F=  224.63 meV / A
2025-10-07 13:56:32.630 INFO: Epoch 21: head: Default, loss=0.51488356, RMSE_E_per_atom=   99.26 meV, RMSE_F=  225.58 meV / A
2025-10-07 13:56:35.523 INFO: Epoch 22: head: Default, loss=0.48582415, RMSE_E_per_atom=  106.05 meV, RMSE_F=  218.96 meV / A
2025-10-07 13:56:38.423 INFO: Epoch 23: head: Default, loss=0.46424398, RMSE_E_per_atom=   95.32 meV, RMSE_F=  214.06 meV / A
2025-10-07 13:56:41.353 INFO: Epoch 24: head: Default, loss=0.44666129, RMSE_E_per_atom=   99.08 meV, RMSE_F=  209.89 meV / A
2025-10-07 13:56:44.315 INFO: Epoch 25: head: Default, loss=0.43110539, RMSE_E_per_atom=   96.55 meV, RMSE_F=  206.21 meV / A
2025-10-07 13:56:47.247 INFO: Epoch 26: head: Default, loss=0.41706598, RMSE_E_per_atom=   98.42 meV, RMSE_F=  202.78 meV / A
2025-10-07 13:56:50.200 INFO: Epoch 27: head: Default, loss=0.40540926, RMSE_E_per_atom=   97.12 meV, RMSE_F=  199.89 meV / A
2025-10-07 13:56:53.096 INFO: Epoch 28: head: Default, loss=0.39570082, RMSE_E_per_atom=  102.09 meV, RMSE_F=  197.43 meV / A
2025-10-07 13:56:56.077 INFO: Epoch 29: head: Default, loss=0.38637017, RMSE_E_per_atom=  105.36 meV, RMSE_F=  195.05 meV / A
2025-10-07 13:56:58.983 INFO: Epoch 30: head: Default, loss=0.37571526, RMSE_E_per_atom=   98.78 meV, RMSE_F=  192.35 meV / A
2025-10-07 13:57:01.806 INFO: Epoch 31: head: Default, loss=0.37414068, RMSE_E_per_atom=   96.02 meV, RMSE_F=  192.00 meV / A
2025-10-07 13:57:04.704 INFO: Epoch 32: head: Default, loss=0.36659443, RMSE_E_per_atom=   96.68 meV, RMSE_F=  190.03 meV / A
