step pe pxx pyy pzz pxy pxz pyz
19 -924.66647590182799377 -12318.405192643815099 12815.131438945898481 -7000.0471856122348981 6785.7864302168600261 -22379.293598761352769 -14665.022353776033924
20 -921.94539580737455253 13527.308250822616174 37211.129251136451785 40245.620174604468048 15617.828181273120208 -11462.161932409961082 -5098.6156096860249818
21 -923.30774115855376749 25478.071842546425614 40638.042172964909696 25917.124686246945203 16061.534961015224326 -3280.0526745160786959 -652.90732693092206773
22 -919.83506766870061711 56891.625760362199799 42416.511453084960522 26287.813034778249857 -3599.1118851488017754 6143.7348087480922914 -22239.439742985854537
23 -927.15469887671122251 22786.969543632079876 39289.049492388061481 19341.48698698712542 18649.190953739118413 -24304.092129662927618 15213.926777675811536
24 -926.69046105590064144 43783.718154416805191 40124.263133686967194 53390.762562820389576 -22982.856425756403041 -2204.6624256123523082 -1833.9298154953653466
25 -926.61882937037034935 25896.114991921829642 37660.605532762856456 5731.6322976500159712 16182.181326519494178 816.15982393273384332 -1432.0902045148477555
26 -926.2295119940861241 11114.893130285896405 20028.571205075139005 -114.70009134780990223 5279.8244313924287781 18542.77127522666342 -25416.082703789892548
27 -929.51054549154946471 -28976.346133102979366 -28526.721397958488524 -23588.470000068573427 -4394.5211947025809422 -393.96889508189406115 -5937.4960929066319295
28 -927.01375163850207173 12627.985611712356331 7193.3106332195829964 7093.9581971025108942 -18778.134965077308152 -8263.2805830910529039 -12794.005618087760013
29 -927.70743424284148659 -10977.697493907695389 23444.969277763371792 -8278.9431796086118993 -19671.277652767621476 -28572.017311644172878 41173.33124484129803
30 -930.26125022870007797 14958.428702773404439 16419.633948726666858 -14991.820034223785115 8873.4159004316006758 -16470.341155520192842 -4830.7479326641814623
31 -926.92108943268647181 40974.740513128032035 -5080.0328073105938529 -4559.370813406662819 7802.617869382457684 15634.772739774729416 -1307.5569271746426239
32 -927.02026754551241083 49809.424607054323133 -6732.7477727775894891 -49949.334536424270482 132.8429979657900617 -12164.320967667352306 8016.0716150863863732
33 -931.03523619113605037 -13104.168308864023857 -6732.0061876998734078 -6075.5177788695455092 -1403.2832235141320325 6564.9769939094749134 11547.488547654751528
34 -925.58769366870478734 20233.715837606268906 72301.170604452840053 11694.084908290653402 -30374.409214517538203 -37025.157746317061537 44267.635714654788899
35 -929.21376131798501774 -3459.5720053267637013 51003.552377553074621 11054.626519381654361 -8667.9795944148063427 -34850.557165767597326 26947.207473409853264
36 -929.31926107729304931 26062.109763130105421 28835.526040865581308 12174.189890720310359 3614.4872173118383216 -13855.346827303483224 -1083.2243221728579101
37 -925.24673743674884463 10137.007313977774174 28252.277424610674643 22551.287941722461255 -19368.671685379769769 -686.97948706289662368 -949.57000972402204297
38 -923.9473796280243505 19820.820009148173995 50413.985314253375691 21590.790219637605333 -7133.6415673998617422 19631.898790866765921 -7654.5846252885867216
39 -929.29377791433466882 63371.33792383877153 23232.864598089367064 24536.767013994725858 -23799.202601745302672 -2230.1357185049068903 12873.82485425633422
40 -928.74401748928153211 32474.528438732122595 14037.570584232953479 11621.157511218652871 -7785.960262903491639 5217.0299779377000959 31973.995616158801568
41 -921.02483135926775049 22707.245043954404537 37242.551552798460762 2810.4023101341822439 9757.63682103492647 -301.39594842152064302 -28913.590853871359286
42 -917.14829255882398229 14580.31627204329925 28293.768950653913635 15600.398889582058473 9547.029946579488751 -23769.062391052462772 -9888.2099434715200914
43 -930.30690808075564746 -20336.573489763522957 -22078.252888634458941 -46548.857943339011399 -1506.1539401256543442 3755.7577082943334972 -15093.806465363411917
44 -935.27484950370023853 -7483.9331861673217645 -16062.207897942605996 -30037.647272162768786 19496.888463408726238 34781.72794102858461 -9124.0502968979653815
45 -934.77742236780272833 -631.53072265350897396 -19533.392234552560694 -26340.564841082330531 15610.360281311606741 33184.95405969775311 -6536.3720632936719994
46 -929.55932322823946379 -9820.7039958536024642 6523.0086552630527876 -33714.779248788363475 8130.0185871915637108 2333.3342806587297673 -9617.6441444078591303
47 -928.48991265728329836 47482.326784976270574 25098.622050024136115 22301.252071760132822 -17867.616870411693526 -4083.1973808629659288 5555.8447960108524057
48 -927.98207063119730265 14813.914902004344185 35782.612939321079466 27112.160512725571607 -17836.815727161188988 -1054.6133214667406719 6346.0268188294521678
49 -926.63265639217024727 -30361.965590806936234 -20335.566889458736114 -24075.956800527132145 12728.002780270280709 10658.62803636418721 -11216.215271907853094
50 -929.15365246921123799 -8590.2330238853664923 8367.4332779578599002 27950.245146967437904 -10491.578577865175248 15785.836780057343276 -18560.991691673418245
51 -929.28269000380305442 -15565.611300265945829 -11159.837314441751005 26527.919826382461906 -14301.259052751711351 -4459.476199548033037 12658.63095537157642
52 -929.22526511909677538 -12489.803855985805058 -8333.3476406966710783 18918.063193536960171 3243.4910177198817109 -6152.3093664560701654 12172.357307355616285
53 -926.54845326446115905 -22836.658856345718959 5371.4510118420703293 51344.532059953446151 16311.234713907124387 14871.796988710650112 7437.6268063265633828
54 -929.73482706884487925 -34431.583854112104746 19233.503828131197224 22857.654958248705952 -22650.645767129848537 -16466.084710245999304 -23938.646776842422696
55 -927.31480182966947723 -15839.62963453698103 32383.251559943200846 14643.51711618086847 -9232.2299562113985303 -18086.021127425185114 -44080.401932224413031
56 -930.14717204304292864 -6919.7646503603573365 26027.773069395785569 55916.510625915667333 1932.0031480032785112 -14304.182448456514976 -24427.346357053469546
57 -930.49027565505707571 24075.622044042178459 27207.609520978505316 43698.070909151509113 27621.911719851214002 -14138.859124871300082 -20670.827177463350381
58 -919.91320234779334442 31974.831331684043107 32725.242824249795376 14754.346592904454155 31461.338037482022628 5736.3144093964447165 4194.5374253482159475
59 -926.81338716553830182 6892.6531606043372449 14875.283385368948075 -1351.7714222213667199 10814.400394391104783 -6815.855964031298754 -11728.607380193896461
60 -926.133344935996206 8024.3757760603084535 22832.584381350854528 -13012.969801277211445 -5544.9748897348281389 -35159.725506437134754 -13590.464402692849035
61 -928.85955031452783714 -7016.230502001356399 -18037.373034097188793 5829.1979488377919552 10230.261857403786053 11360.591469296967261 2830.0734553075144504
62 -931.50133453131036276 -25974.708632980149559 -36573.84236910881009 -42671.563112344068941 14867.293929085271884 13504.247043421604758 -16717.875325714212522
63 -927.98542696308754785 6571.8229346502739645 21952.67173884226213 -17042.678237603919115 -19867.680532244976348 -1221.5333540640542651 39366.653180916633573
64 -928.11994878287271149 2103.8844807185005266 18833.453941400395706 -5562.1248121602884567 -437.14845184906135955 -6740.2879374471995106 33995.632476317230612
65 -931.12542343156565039 19648.597222772321402 12573.276440601101058 758.45699568743350483 16487.900707078508276 5083.6819589037859259 2469.1642260222351979
66 -931.23167490199125496 11704.937913470967032 11516.606363235716344 25402.597889868429775 2808.3021478505415871 -7900.1368122667308853 5572.0638741108123213
67 -924.64753485738697236 50437.867760781351535 47794.091263741043804 56323.229608256107895 16762.45107230038775 -565.45467384580194903 -14060.677434725264902
68 -924.67687617766284802 53502.067984321874974 48631.894745965095353 55172.164179349616461 14960.939679373695981 8522.5695391675726569 -12137.752413780814095
69 -924.71460193279904161 17654.919972806608712 32704.055424165380828 -11909.4711117402112 20761.415754028152151 15447.42631948741473 11999.316698452290439
70 -927.54950852434808439 -5330.1295624320191564 -1250.6444183632909244 629.13977635286960322 -14049.130908752968026 17759.182680919700942 -13241.231873372655173
71 -932.5781321092606504 22.104122035042816918 8329.2690187886746571 -3755.1767605382519832 10817.037874064393691 12915.875324577726133 -8150.6860753046430546
72 -933.94163398640625928 11772.405132527464957 16689.864297688054648 11086.889724875261891 -23114.122799496803054 12032.652168186734343 -25722.70144508464
73 -929.45495518985603667 25605.953342111584789 13584.694496984488069 23074.191964617162739 -7481.9119963772318442 -7689.3543189858301048 -265.02105387736054354
74 -926.76679042826515342 24268.932051149356994 1486.7647317332634884 23202.178490257305384 -3299.5369704988415833 -12344.016858859995409 -12961.494458680414027
75 -929.0159535712922434 7287.643610171166074 -7479.1873490818006758 35647.41926869461895 -12060.446112946337962 -1315.0650468147528045 -481.14025158747500654
76 -923.64642478479811416 -4189.0109271084820648 30399.991070923661027 -834.88280588189456921 7389.9986407717851762 -11437.444187893450362 20074.429244911294518
77 -921.27461570554987702 -3185.536680540792986 20423.771396493837528 49794.191804223082727 24007.050812878034776 12369.07068731277468 21550.845603547666542
78 -923.69698017264727241 25432.852309518122638 51454.264062441769056 22514.043584940198343 -6942.5387810708607503 24609.78072345905457 -9745.3122946936000517
79 -918.35680870064516057 34537.700373891180789 40785.734147746188683 49488.336093644233188 15115.450396684504085 38740.046100200983346 -31277.5314015392687
80 -916.72526771074171847 37907.274318860050698 57945.475463404487527 62867.292124591775064 15907.009889691864373 29877.321809069679148 -30481.403886902673548
81 -923.23508818019172395 2338.008711584050161 17108.178630268830602 -5301.6732803170061743 17067.365683180665656 -9513.1502905312718212 32207.227163942992775
82 -925.04142907159109654 12856.900421692351301 33621.952771368516551 -1193.962520934183658 -4124.5841008969500763 -2234.0642542356190461 19507.369329854122043
83 -928.26293379087428548 5459.4389104482916082 -4552.1244525251868254 11159.052291258343757 -11279.189563705938781 -13999.503565088145479 6168.6085537716053295
84 -930.35140782622511324 -6046.7998295051911555 -11446.184957494921036 16298.97246044554231 5381.5955160769808572 -8271.1409649154229555 -15796.316171346294141
85 -932.20321418893786358 14163.292904199302939 -18169.689446686363226 20987.660809885968774 -24576.320191591632465 -11791.085129416200289 27745.041946398279833
86 -934.29412689780986057 1635.5267148932869077 -19316.403470771758293 -14503.788222712913921 -4242.5536504339770545 1383.0245691678812818 -11773.731039060336116
87 -930.83409230340885188 -3560.0425016015237816 -549.02938046212796053 -26667.260329477077903 -19783.114019793079933 12406.043742245339672 7409.5994496265830094
88 -930.90419874726057969 -6931.0120684862258713 406.34500750423478621 -22090.389929749300791 -19005.325111909827683 8379.2590642011091404 11740.718035187755959
89 -935.0097901917292802 -7615.9572088387703843 -12122.549554831417481 -5216.4320007146097851 9341.6983059928497823 -5016.0075105272608198 -2960.161275133827985
90 -928.23431494258045404 15787.696923327297554 8557.9994232597473456 8829.7449542462054524 -11595.69617881866543 4973.1234127756579255 -6646.9859346278653902
91 -928.50885744557922408 19770.248602340067009 -6268.3657333138116883 4816.1949717516617966 11541.552707621996888 8214.3786606141238735 -22135.636598757322645
92 -932.62472687254910397 10018.09618585021235 -4093.2044329656537229 -7377.8265843319877604 13501.31218612396151 3912.5915170192456571 -3906.6134389493972776
93 -930.49193280612723811 10613.016502894643054 11106.064670353620386 -20271.715977877109253 9714.4221027202420373 -18817.874580078045256 -6251.9433537594904919
94 -926.1772810300645915 24979.975662900476891 14539.915458025576299 -7980.3190025054918806 -11739.62633777103656 -2745.1813571232692084 -19984.920225241035951
95 -928.25034875509334142 906.84968268272746172 7647.8541879516487825 -6097.0488316438249967 -15260.294389680200766 13256.446504059556901 13014.127719740074099
96 -929.86750788008430391 -4955.0418848047329448 9159.05012209218512 -19317.761643386638752 24332.825128980708541 -14689.77561423901534 2956.1310956247289141
97 -926.30744771723584563 12156.80226104180656 18680.702970344682399 41222.180467315491114 -25005.427541938432114 1802.991251156905264 -7791.0649180875143429
98 -924.41975007519033625 11261.888586824532467 37484.632134860956285 -3842.046026049563352 -39836.133727339576581 10042.123220943438355 26083.185291410583886
99 -924.03157825971823058 19265.762611133672181 43172.581020243007515 -1350.7119932827413322 -33152.374854168578167 6614.8459482202979416 28817.838960698627488
100 -927.76704849002885567 4457.9494730074056861 29448.809826867629454 -21471.388136912337359 -19128.405635792340036 4293.5725847214853275 23775.768910096434411
101 -929.5459153345964296 24625.246987412985618 -20904.78305411157271 -7033.5657689025047148 -8511.1402849930327648 -1161.4054346932193766 -9867.312595662106105
102 -930.22160775692282186 22922.525758857897017 -13870.997785598428891 717.94496283521061741 -3756.3080596736149346 2825.9619213153914643 -6702.801892795092499
