2025-10-14 16:40:52.959 INFO: ===========VERIFYING SETTINGS===========
2025-10-14 16:40:52.962 INFO: Stage Two is activated as start_stage_two was defined
2025-10-14 16:40:52.963 INFO: MACE version: 0.3.14
2025-10-14 16:40:52.965 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-14 16:40:52.970 INFO: Using foundation model mace-mp-0 small as initial checkpoint.
2025-10-14 16:40:53.143 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-14 16:40:53.149 INFO: ===========LOADING INPUT DATA===========
2025-10-14 16:40:53.150 INFO: Using heads: ['Default']
2025-10-14 16:40:53.152 INFO: Using the key specifications to parse data:
2025-10-14 16:40:53.153 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-14 16:40:53.154 INFO: =============    Processing head Default     ===========
2025-10-14 16:40:53.467 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-14 16:40:53.472 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-14 16:40:53.576 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-14 16:40:53.579 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-14 16:40:53.888 INFO: Test set 1/1 [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-14 16:40:53.893 INFO: Total Test set [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-14 16:40:53.895 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 389],
2025-10-14 16:40:53.904 INFO: Atomic Numbers used: [8, 72]
2025-10-14 16:40:53.905 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-14 16:40:53.907 INFO: Atomic Energies used (z: eV) for head Default: {8: -444.4382601985303, 72: -1528.3129784907499}
2025-10-14 16:40:53.909 INFO: Processing datasets for head 'Default'
2025-10-14 16:40:56.539 INFO: Combining 1 list datasets for head 'Default'
2025-10-14 16:40:57.235 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-14 16:40:57.236 INFO: Combined validation datasets for Default
2025-10-14 16:40:57.238 INFO: Head 'Default' training dataset size: 361
2025-10-14 16:40:57.239 INFO: Computing average number of neighbors
2025-10-14 16:40:57.467 INFO: Average number of neighbors: 59.54062481261618
2025-10-14 16:40:57.469 INFO: During training the following quantities will be reported: energy, forces
2025-10-14 16:40:57.470 INFO: ===========MODEL DETAILS===========
2025-10-14 16:40:57.658 INFO: Loading FOUNDATION model
2025-10-14 16:40:57.660 INFO: Using filtered elements: [8, 72]
2025-10-14 16:40:57.662 INFO: Model configuration extracted from foundation model
2025-10-14 16:40:57.663 INFO: Using weighted loss function for fine-tuning
2025-10-14 16:40:57.665 INFO: Message passing with hidden irreps 128x0e)
2025-10-14 16:40:57.666 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-14 16:40:57.667 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-14 16:40:57.668 INFO: Distance transform for radial basis functions: None
2025-10-14 16:40:58.923 INFO: Total number of parameters: 362138
2025-10-14 16:40:58.925 INFO: 
2025-10-14 16:40:58.927 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-14 16:40:58.928 INFO: Using ADAM as parameter optimizer
2025-10-14 16:40:58.929 INFO: Batch size: 14
2025-10-14 16:40:58.931 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-14 16:40:58.932 INFO: Number of gradient updates: 7735
2025-10-14 16:40:58.933 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-10-14 16:40:58.934 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-14 16:40:58.936 INFO: Converting model to CUEQ for accelerated training
2025-10-14 16:40:59.045 INFO: Creating new model with cuequivariance settings
2025-10-14 16:40:59.447 INFO: Stage Two (after 180 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-14 16:40:59.517 INFO: Using Weights and Biases for logging
2025-10-14 16:41:01.289 INFO: Using gradient clipping with tolerance=10.000
2025-10-14 16:41:01.291 INFO: 
2025-10-14 16:41:01.292 INFO: ===========TRAINING===========
2025-10-14 16:41:01.293 INFO: Started training, reporting errors on validation set
2025-10-14 16:41:01.295 INFO: Loss metrics on validation set
2025-10-14 16:41:01.754 INFO: Initial: head: Default, loss=7.52737403, RMSE_E_per_atom= 7885.95 meV, RMSE_F=  361.32 meV / A
2025-10-14 16:41:04.804 INFO: Epoch 0: head: Default, loss=1.26943042, RMSE_E_per_atom= 1498.26 meV, RMSE_F=  326.90 meV / A
2025-10-14 16:41:07.743 INFO: Epoch 1: head: Default, loss=1.54255331, RMSE_E_per_atom= 1482.81 meV, RMSE_F=  364.96 meV / A
2025-10-14 16:41:10.762 INFO: Epoch 2: head: Default, loss=0.70447666, RMSE_E_per_atom=  686.31 meV, RMSE_F=  255.43 meV / A
2025-10-14 16:41:13.826 INFO: Epoch 3: head: Default, loss=0.56598545, RMSE_E_per_atom=  411.45 meV, RMSE_F=  233.24 meV / A
2025-10-14 16:41:17.018 INFO: Epoch 4: head: Default, loss=0.52983151, RMSE_E_per_atom=  283.07 meV, RMSE_F=  227.26 meV / A
2025-10-14 16:41:20.141 INFO: Epoch 5: head: Default, loss=0.49843726, RMSE_E_per_atom=  239.09 meV, RMSE_F=  220.87 meV / A
2025-10-14 16:41:23.276 INFO: Epoch 6: head: Default, loss=0.53061749, RMSE_E_per_atom=  271.06 meV, RMSE_F=  227.54 meV / A
2025-10-14 16:41:26.306 INFO: Epoch 7: head: Default, loss=0.49419558, RMSE_E_per_atom=  245.67 meV, RMSE_F=  219.64 meV / A
2025-10-14 16:41:29.397 INFO: Epoch 8: head: Default, loss=0.45867063, RMSE_E_per_atom=  164.99 meV, RMSE_F=  212.28 meV / A
2025-10-14 16:41:32.523 INFO: Epoch 9: head: Default, loss=0.44269264, RMSE_E_per_atom=  155.13 meV, RMSE_F=  208.57 meV / A
2025-10-14 16:41:35.601 INFO: Epoch 10: head: Default, loss=0.42710240, RMSE_E_per_atom=  152.90 meV, RMSE_F=  204.84 meV / A
2025-10-14 16:41:38.526 INFO: Epoch 11: head: Default, loss=0.48834673, RMSE_E_per_atom=  161.82 meV, RMSE_F=  219.01 meV / A
2025-10-14 16:41:41.569 INFO: Epoch 12: head: Default, loss=0.41496001, RMSE_E_per_atom=  147.17 meV, RMSE_F=  201.85 meV / A
2025-10-14 16:41:44.729 INFO: Epoch 13: head: Default, loss=0.39808545, RMSE_E_per_atom=  145.18 meV, RMSE_F=  197.65 meV / A
2025-10-14 16:41:47.787 INFO: Epoch 14: head: Default, loss=0.39158325, RMSE_E_per_atom=  144.90 meV, RMSE_F=  196.01 meV / A
2025-10-14 16:41:50.844 INFO: Epoch 15: head: Default, loss=0.38149245, RMSE_E_per_atom=  156.29 meV, RMSE_F=  193.36 meV / A
2025-10-14 16:41:53.943 INFO: Epoch 16: head: Default, loss=0.37793573, RMSE_E_per_atom=  162.69 meV, RMSE_F=  192.41 meV / A
2025-10-14 16:41:57.011 INFO: Epoch 17: head: Default, loss=0.36931883, RMSE_E_per_atom=  151.85 meV, RMSE_F=  190.28 meV / A
2025-10-14 16:42:00.067 INFO: Epoch 18: head: Default, loss=0.37037993, RMSE_E_per_atom=  130.29 meV, RMSE_F=  190.72 meV / A
2025-10-14 16:42:03.048 INFO: Epoch 19: head: Default, loss=0.36499654, RMSE_E_per_atom=  122.92 meV, RMSE_F=  189.35 meV / A
2025-10-14 16:42:06.130 INFO: Epoch 20: head: Default, loss=0.35828552, RMSE_E_per_atom=  122.89 meV, RMSE_F=  187.59 meV / A
2025-10-14 16:42:09.114 INFO: Epoch 21: head: Default, loss=0.38364992, RMSE_E_per_atom=  158.72 meV, RMSE_F=  193.92 meV / A
2025-10-14 16:42:12.139 INFO: Epoch 22: head: Default, loss=0.37117494, RMSE_E_per_atom=  150.02 meV, RMSE_F=  190.80 meV / A
2025-10-14 16:42:15.189 INFO: Epoch 23: head: Default, loss=0.35313251, RMSE_E_per_atom=  126.43 meV, RMSE_F=  186.23 meV / A
2025-10-14 16:42:18.268 INFO: Epoch 24: head: Default, loss=0.34282561, RMSE_E_per_atom=  115.30 meV, RMSE_F=  183.54 meV / A
2025-10-14 16:42:21.354 INFO: Epoch 25: head: Default, loss=0.33493485, RMSE_E_per_atom=  106.40 meV, RMSE_F=  181.47 meV / A
2025-10-14 16:42:24.395 INFO: Epoch 26: head: Default, loss=0.33003472, RMSE_E_per_atom=   99.93 meV, RMSE_F=  180.19 meV / A
2025-10-14 16:42:27.433 INFO: Epoch 27: head: Default, loss=0.32518813, RMSE_E_per_atom=   95.43 meV, RMSE_F=  178.87 meV / A
2025-10-14 16:42:30.466 INFO: Epoch 28: head: Default, loss=0.32003859, RMSE_E_per_atom=   95.56 meV, RMSE_F=  177.42 meV / A
2025-10-14 16:42:33.573 INFO: Epoch 29: head: Default, loss=0.31935675, RMSE_E_per_atom=  106.47 meV, RMSE_F=  177.18 meV / A
2025-10-14 16:42:36.682 INFO: Epoch 30: head: Default, loss=0.31877315, RMSE_E_per_atom=   98.44 meV, RMSE_F=  177.04 meV / A
2025-10-14 16:42:39.586 INFO: Epoch 31: head: Default, loss=0.32951762, RMSE_E_per_atom=   91.25 meV, RMSE_F=  180.08 meV / A
2025-10-14 16:42:42.588 INFO: Epoch 32: head: Default, loss=0.32385757, RMSE_E_per_atom=   93.98 meV, RMSE_F=  178.52 meV / A
2025-10-14 16:42:45.602 INFO: Epoch 33: head: Default, loss=0.32157738, RMSE_E_per_atom=   94.26 meV, RMSE_F=  177.88 meV / A
2025-10-14 16:42:48.641 INFO: Epoch 34: head: Default, loss=0.31777831, RMSE_E_per_atom=   85.86 meV, RMSE_F=  176.85 meV / A
