2025-10-07 02:40:48.755 INFO: ===========VERIFYING SETTINGS===========
2025-10-07 02:40:48.757 INFO: MACE version: 0.3.14
2025-10-07 02:40:48.759 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-07 02:40:48.762 INFO: ===========LOADING INPUT DATA===========
2025-10-07 02:40:48.763 INFO: Using heads: ['Default']
2025-10-07 02:40:48.764 INFO: Using the key specifications to parse data:
2025-10-07 02:40:48.765 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-07 02:40:48.767 INFO: =============    Processing head Default     ===========
2025-10-07 02:40:49.046 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 02:40:49.050 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 02:40:49.138 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 02:40:49.140 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 02:40:49.434 INFO: Test set 1/1 [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 02:40:49.438 INFO: Total Test set [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 02:40:49.439 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 389],
2025-10-07 02:40:49.447 INFO: Atomic Numbers used: [8, 72]
2025-10-07 02:40:49.448 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-07 02:40:49.449 INFO: Atomic Energies used (z: eV) for head Default: {8: -444.4382601985303, 72: -1528.3129784907499}
2025-10-07 02:40:49.451 INFO: Processing datasets for head 'Default'
2025-10-07 02:40:51.795 INFO: Combining 1 list datasets for head 'Default'
2025-10-07 02:40:52.444 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-07 02:40:52.445 INFO: Combined validation datasets for Default
2025-10-07 02:40:52.446 INFO: Head 'Default' training dataset size: 361
2025-10-07 02:40:52.448 INFO: Computing average number of neighbors
2025-10-07 02:40:52.803 INFO: Average number of neighbors: 59.42249876428343
2025-10-07 02:40:52.805 INFO: During training the following quantities will be reported: energy, forces
2025-10-07 02:40:52.807 INFO: ===========MODEL DETAILS===========
2025-10-07 02:40:53.096 INFO: Building model
2025-10-07 02:40:53.097 INFO: Message passing with 256 channels and max_L=1 (256x0e + 256x1o)
2025-10-07 02:40:53.099 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-07 02:40:53.100 INFO: 8 radial and 5 basis functions
2025-10-07 02:40:53.101 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-07 02:40:53.102 INFO: Distance transform for radial basis functions: None
2025-10-07 02:40:53.103 INFO: Hidden irreps: 256x0e + 256x1o
2025-10-07 02:40:54.699 INFO: Total number of parameters: 2276112
2025-10-07 02:40:54.701 INFO: 
2025-10-07 02:40:54.702 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-07 02:40:54.703 INFO: Using ADAM as parameter optimizer
2025-10-07 02:40:54.705 INFO: Batch size: 3
2025-10-07 02:40:54.706 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-07 02:40:54.707 INFO: Number of gradient updates: 12033
2025-10-07 02:40:54.708 INFO: Learning rate: 0.005, weight decay: 5e-07
2025-10-07 02:40:54.709 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-07 02:40:54.710 INFO: Converting model to CUEQ for accelerated training
2025-10-07 02:40:54.809 INFO: Creating new model with cuequivariance settings
2025-10-07 02:40:55.346 INFO: Stage Two (after 75 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-07 02:40:55.442 INFO: Using Weights and Biases for logging
2025-10-07 02:40:56.586 INFO: Using gradient clipping with tolerance=10.000
2025-10-07 02:40:56.588 INFO: 
2025-10-07 02:40:56.589 INFO: ===========TRAINING===========
2025-10-07 02:40:56.590 INFO: Started training, reporting errors on validation set
2025-10-07 02:40:56.591 INFO: Loss metrics on validation set
2025-10-07 02:40:57.268 INFO: Initial: head: Default, loss=18.01621703, RMSE_E_per_atom= 7278.61 meV, RMSE_F= 1128.96 meV / A
2025-10-07 02:41:10.409 INFO: Epoch 0: head: Default, loss=2.12967651, RMSE_E_per_atom= 1039.91 meV, RMSE_F=  448.20 meV / A
2025-10-07 02:41:22.301 INFO: Epoch 1: head: Default, loss=2.30011713, RMSE_E_per_atom=  806.40 meV, RMSE_F=  471.56 meV / A
2025-10-07 02:41:35.316 INFO: Epoch 2: head: Default, loss=1.26513484, RMSE_E_per_atom=  702.75 meV, RMSE_F=  347.66 meV / A
2025-10-07 02:41:48.460 INFO: Epoch 3: head: Default, loss=0.99596995, RMSE_E_per_atom=  518.49 meV, RMSE_F=  310.78 meV / A
2025-10-07 02:42:02.039 INFO: Epoch 4: head: Default, loss=0.82506459, RMSE_E_per_atom=  406.71 meV, RMSE_F=  283.51 meV / A
2025-10-07 02:42:15.171 INFO: Epoch 5: head: Default, loss=0.73862603, RMSE_E_per_atom=  345.57 meV, RMSE_F=  268.80 meV / A
2025-10-07 02:42:28.379 INFO: Epoch 6: head: Default, loss=0.66943984, RMSE_E_per_atom=  292.76 meV, RMSE_F=  256.21 meV / A
2025-10-07 02:42:41.576 INFO: Epoch 7: head: Default, loss=0.61522162, RMSE_E_per_atom=  266.37 meV, RMSE_F=  245.70 meV / A
2025-10-07 02:42:54.767 INFO: Epoch 8: head: Default, loss=0.56979013, RMSE_E_per_atom=  241.08 meV, RMSE_F=  236.55 meV / A
2025-10-07 02:43:07.957 INFO: Epoch 9: head: Default, loss=0.54125304, RMSE_E_per_atom=  221.13 meV, RMSE_F=  230.84 meV / A
2025-10-07 02:43:21.148 INFO: Epoch 10: head: Default, loss=0.50230799, RMSE_E_per_atom=  198.49 meV, RMSE_F=  222.29 meV / A
2025-10-07 02:43:33.048 INFO: Epoch 11: head: Default, loss=0.53984515, RMSE_E_per_atom=  232.78 meV, RMSE_F=  230.18 meV / A
2025-10-07 02:43:46.074 INFO: Epoch 12: head: Default, loss=0.48445421, RMSE_E_per_atom=  184.48 meV, RMSE_F=  218.25 meV / A
2025-10-07 02:43:59.434 INFO: Epoch 13: head: Default, loss=0.45235415, RMSE_E_per_atom=  147.75 meV, RMSE_F=  211.18 meV / A
2025-10-07 02:44:12.681 INFO: Epoch 14: head: Default, loss=0.43835980, RMSE_E_per_atom=  163.56 meV, RMSE_F=  207.70 meV / A
2025-10-07 02:44:25.901 INFO: Epoch 15: head: Default, loss=0.41791287, RMSE_E_per_atom=  153.31 meV, RMSE_F=  202.78 meV / A
2025-10-07 02:44:39.283 INFO: Epoch 16: head: Default, loss=0.39951471, RMSE_E_per_atom=  126.92 meV, RMSE_F=  198.38 meV / A
2025-10-07 02:44:52.666 INFO: Epoch 17: head: Default, loss=0.38592314, RMSE_E_per_atom=  112.19 meV, RMSE_F=  194.97 meV / A
2025-10-07 02:45:05.837 INFO: Epoch 18: head: Default, loss=0.37460399, RMSE_E_per_atom=  105.93 meV, RMSE_F=  192.15 meV / A
2025-10-07 02:45:19.036 INFO: Epoch 19: head: Default, loss=0.36645766, RMSE_E_per_atom=  124.05 meV, RMSE_F=  189.93 meV / A
2025-10-07 02:45:32.344 INFO: Epoch 20: head: Default, loss=0.35465318, RMSE_E_per_atom=  119.78 meV, RMSE_F=  186.70 meV / A
2025-10-07 02:45:44.130 INFO: Epoch 21: head: Default, loss=0.36723018, RMSE_E_per_atom=  130.86 meV, RMSE_F=  189.87 meV / A
2025-10-07 02:45:57.071 INFO: Epoch 22: head: Default, loss=0.34223876, RMSE_E_per_atom=  104.32 meV, RMSE_F=  183.51 meV / A
2025-10-07 02:46:10.347 INFO: Epoch 23: head: Default, loss=0.33616551, RMSE_E_per_atom=  103.20 meV, RMSE_F=  181.87 meV / A
2025-10-07 02:46:23.673 INFO: Epoch 24: head: Default, loss=0.32811159, RMSE_E_per_atom=   98.73 meV, RMSE_F=  179.74 meV / A
2025-10-07 02:46:36.979 INFO: Epoch 25: head: Default, loss=0.32415444, RMSE_E_per_atom=   93.17 meV, RMSE_F=  178.45 meV / A
2025-10-07 02:46:50.191 INFO: Epoch 26: head: Default, loss=0.31717448, RMSE_E_per_atom=   93.65 meV, RMSE_F=  176.53 meV / A
2025-10-07 02:47:03.349 INFO: Epoch 27: head: Default, loss=0.31076368, RMSE_E_per_atom=  101.60 meV, RMSE_F=  174.67 meV / A
2025-10-07 02:47:16.572 INFO: Epoch 28: head: Default, loss=0.30674462, RMSE_E_per_atom=   96.98 meV, RMSE_F=  173.59 meV / A
2025-10-07 02:47:29.866 INFO: Epoch 29: head: Default, loss=0.30413475, RMSE_E_per_atom=  100.28 meV, RMSE_F=  172.80 meV / A
2025-10-07 02:47:43.044 INFO: Epoch 30: head: Default, loss=0.30046471, RMSE_E_per_atom=  107.26 meV, RMSE_F=  171.74 meV / A
2025-10-07 02:47:55.031 INFO: Epoch 31: head: Default, loss=0.33626476, RMSE_E_per_atom=  123.51 meV, RMSE_F=  181.92 meV / A
2025-10-07 02:48:07.941 INFO: Epoch 32: head: Default, loss=0.29947439, RMSE_E_per_atom=   96.05 meV, RMSE_F=  171.62 meV / A
