2025-10-14 17:44:11.462 INFO: ===========VERIFYING SETTINGS===========
2025-10-14 17:44:11.464 INFO: Stage Two is activated as start_stage_two was defined
2025-10-14 17:44:11.464 INFO: MACE version: 0.3.14
2025-10-14 17:44:11.555 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-14 17:44:11.559 INFO: Using foundation model mace-mp-0 small as initial checkpoint.
2025-10-14 17:44:12.707 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-14 17:44:12.717 INFO: ===========LOADING INPUT DATA===========
2025-10-14 17:44:12.718 INFO: Using heads: ['Default']
2025-10-14 17:44:12.719 INFO: Using the key specifications to parse data:
2025-10-14 17:44:12.720 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-14 17:44:12.721 INFO: =============    Processing head Default     ===========
2025-10-14 17:44:14.988 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-14 17:44:14.992 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-14 17:44:16.438 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-14 17:44:16.439 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-14 17:44:18.212 INFO: Test set 1/1 [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-14 17:44:18.215 INFO: Total Test set [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-14 17:44:18.216 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 389],
2025-10-14 17:44:18.224 INFO: Atomic Numbers used: [8, 72]
2025-10-14 17:44:18.224 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-14 17:44:18.225 INFO: Atomic Energies used (z: eV) for head Default: {8: -444.4382601985303, 72: -1528.3129784907499}
2025-10-14 17:44:18.226 INFO: Processing datasets for head 'Default'
2025-10-14 17:44:20.589 INFO: Combining 1 list datasets for head 'Default'
2025-10-14 17:44:21.248 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-14 17:44:21.249 INFO: Combined validation datasets for Default
2025-10-14 17:44:21.250 INFO: Head 'Default' training dataset size: 361
2025-10-14 17:44:21.251 INFO: Computing average number of neighbors
2025-10-14 17:44:21.487 INFO: Average number of neighbors: 59.54062481261618
2025-10-14 17:44:21.488 INFO: During training the following quantities will be reported: energy, forces
2025-10-14 17:44:21.489 INFO: ===========MODEL DETAILS===========
2025-10-14 17:44:21.666 INFO: Loading FOUNDATION model
2025-10-14 17:44:21.668 INFO: Using filtered elements: [8, 72]
2025-10-14 17:44:21.669 INFO: Model configuration extracted from foundation model
2025-10-14 17:44:21.670 INFO: Using weighted loss function for fine-tuning
2025-10-14 17:44:21.671 INFO: Message passing with hidden irreps 128x0e)
2025-10-14 17:44:21.671 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-14 17:44:21.672 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-14 17:44:21.673 INFO: Distance transform for radial basis functions: None
2025-10-14 17:44:22.946 INFO: Total number of parameters: 362138
2025-10-14 17:44:22.948 INFO: 
2025-10-14 17:44:22.948 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-14 17:44:22.949 INFO: Using ADAMW as parameter optimizer
2025-10-14 17:44:22.950 INFO: Batch size: 14
2025-10-14 17:44:22.951 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-14 17:44:22.952 INFO: Number of gradient updates: 7735
2025-10-14 17:44:22.953 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-10-14 17:44:22.954 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-14 17:44:22.955 INFO: Converting model to CUEQ for accelerated training
2025-10-14 17:44:23.037 INFO: Creating new model with cuequivariance settings
2025-10-14 17:44:26.630 INFO: Stage Two (after 180 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-14 17:44:26.688 INFO: Using Weights and Biases for logging
2025-10-14 17:44:28.369 INFO: Using gradient clipping with tolerance=10.000
2025-10-14 17:44:28.371 INFO: 
2025-10-14 17:44:28.372 INFO: ===========TRAINING===========
2025-10-14 17:44:28.373 INFO: Started training, reporting errors on validation set
2025-10-14 17:44:28.374 INFO: Loss metrics on validation set
2025-10-14 17:44:50.838 INFO: Initial: head: Default, loss=7.52737403, RMSE_E_per_atom= 7885.95 meV, RMSE_F=  361.32 meV / A
2025-10-14 17:45:29.976 INFO: Epoch 0: head: Default, loss=1.26917781, RMSE_E_per_atom= 1498.37 meV, RMSE_F=  326.85 meV / A
2025-10-14 17:45:47.270 INFO: Epoch 1: head: Default, loss=1.54253275, RMSE_E_per_atom= 1483.00 meV, RMSE_F=  364.95 meV / A
2025-10-14 17:45:49.763 INFO: Epoch 2: head: Default, loss=0.70505595, RMSE_E_per_atom=  687.28 meV, RMSE_F=  255.50 meV / A
2025-10-14 17:45:52.405 INFO: Epoch 3: head: Default, loss=0.57232090, RMSE_E_per_atom=  410.85 meV, RMSE_F=  234.61 meV / A
2025-10-14 17:45:54.975 INFO: Epoch 4: head: Default, loss=0.52079459, RMSE_E_per_atom=  257.78 meV, RMSE_F=  225.60 meV / A
2025-10-14 17:45:57.531 INFO: Epoch 5: head: Default, loss=0.49756396, RMSE_E_per_atom=  266.43 meV, RMSE_F=  220.13 meV / A
2025-10-14 17:46:00.089 INFO: Epoch 6: head: Default, loss=0.45634591, RMSE_E_per_atom=  174.32 meV, RMSE_F=  211.68 meV / A
2025-10-14 17:46:02.686 INFO: Epoch 7: head: Default, loss=0.44556428, RMSE_E_per_atom=  191.59 meV, RMSE_F=  208.91 meV / A
2025-10-14 17:46:05.296 INFO: Epoch 8: head: Default, loss=0.44878598, RMSE_E_per_atom=  187.81 meV, RMSE_F=  209.77 meV / A
2025-10-14 17:46:07.802 INFO: Epoch 9: head: Default, loss=0.43638825, RMSE_E_per_atom=  159.89 meV, RMSE_F=  207.02 meV / A
2025-10-14 17:46:10.380 INFO: Epoch 10: head: Default, loss=0.42511384, RMSE_E_per_atom=  150.38 meV, RMSE_F=  204.39 meV / A
2025-10-14 17:46:12.859 INFO: Epoch 11: head: Default, loss=0.47076919, RMSE_E_per_atom=  218.77 meV, RMSE_F=  214.93 meV / A
2025-10-14 17:46:15.374 INFO: Epoch 12: head: Default, loss=0.41226460, RMSE_E_per_atom=  171.59 meV, RMSE_F=  201.27 meV / A
2025-10-14 17:46:17.985 INFO: Epoch 13: head: Default, loss=0.39071846, RMSE_E_per_atom=  155.85 meV, RMSE_F=  195.97 meV / A
2025-10-14 17:46:20.548 INFO: Epoch 14: head: Default, loss=0.38049323, RMSE_E_per_atom=  142.70 meV, RMSE_F=  193.38 meV / A
2025-10-14 17:46:23.100 INFO: Epoch 15: head: Default, loss=0.37025676, RMSE_E_per_atom=  138.51 meV, RMSE_F=  190.72 meV / A
2025-10-14 17:46:25.648 INFO: Epoch 16: head: Default, loss=0.35930794, RMSE_E_per_atom=  122.59 meV, RMSE_F=  187.96 meV / A
2025-10-14 17:46:28.240 INFO: Epoch 17: head: Default, loss=0.35114670, RMSE_E_per_atom=  113.42 meV, RMSE_F=  185.82 meV / A
2025-10-14 17:46:30.817 INFO: Epoch 18: head: Default, loss=0.35313893, RMSE_E_per_atom=  111.09 meV, RMSE_F=  186.41 meV / A
2025-10-14 17:46:33.351 INFO: Epoch 19: head: Default, loss=0.35697348, RMSE_E_per_atom=  131.55 meV, RMSE_F=  187.32 meV / A
2025-10-14 17:46:35.878 INFO: Epoch 20: head: Default, loss=0.35916929, RMSE_E_per_atom=  127.08 meV, RMSE_F=  187.87 meV / A
2025-10-14 17:46:38.323 INFO: Epoch 21: head: Default, loss=0.37472634, RMSE_E_per_atom=  109.34 meV, RMSE_F=  192.06 meV / A
2025-10-14 17:46:40.864 INFO: Epoch 22: head: Default, loss=0.35970237, RMSE_E_per_atom=  102.18 meV, RMSE_F=  188.18 meV / A
2025-10-14 17:46:43.432 INFO: Epoch 23: head: Default, loss=0.34448377, RMSE_E_per_atom=   97.56 meV, RMSE_F=  184.17 meV / A
2025-10-14 17:46:46.032 INFO: Epoch 24: head: Default, loss=0.33290016, RMSE_E_per_atom=  100.23 meV, RMSE_F=  181.03 meV / A
2025-10-14 17:46:48.587 INFO: Epoch 25: head: Default, loss=0.32316387, RMSE_E_per_atom=   98.20 meV, RMSE_F=  178.35 meV / A
2025-10-14 17:46:51.155 INFO: Epoch 26: head: Default, loss=0.31957310, RMSE_E_per_atom=   97.42 meV, RMSE_F=  177.34 meV / A
2025-10-14 17:46:53.738 INFO: Epoch 27: head: Default, loss=0.31887946, RMSE_E_per_atom=   99.95 meV, RMSE_F=  177.15 meV / A
2025-10-14 17:46:56.333 INFO: Epoch 28: head: Default, loss=0.31582896, RMSE_E_per_atom=   99.37 meV, RMSE_F=  176.30 meV / A
2025-10-14 17:46:58.894 INFO: Epoch 29: head: Default, loss=0.31624585, RMSE_E_per_atom=  104.44 meV, RMSE_F=  176.36 meV / A
2025-10-14 17:47:01.384 INFO: Epoch 30: head: Default, loss=0.31298383, RMSE_E_per_atom=   94.59 meV, RMSE_F=  175.47 meV / A
2025-10-14 17:47:03.847 INFO: Epoch 31: head: Default, loss=0.32007909, RMSE_E_per_atom=   80.71 meV, RMSE_F=  177.48 meV / A
2025-10-14 17:47:06.377 INFO: Epoch 32: head: Default, loss=0.31336054, RMSE_E_per_atom=   78.39 meV, RMSE_F=  175.63 meV / A
2025-10-14 17:47:08.920 INFO: Epoch 33: head: Default, loss=0.30875161, RMSE_E_per_atom=   77.91 meV, RMSE_F=  174.34 meV / A
2025-10-14 17:47:11.517 INFO: Epoch 34: head: Default, loss=0.30506881, RMSE_E_per_atom=   76.02 meV, RMSE_F=  173.31 meV / A
