2025-10-07 00:57:32.608 INFO: ===========VERIFYING SETTINGS===========
2025-10-07 00:57:32.610 INFO: MACE version: 0.3.14
2025-10-07 00:57:32.691 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-07 00:57:32.694 INFO: ===========LOADING INPUT DATA===========
2025-10-07 00:57:32.695 INFO: Using heads: ['Default']
2025-10-07 00:57:32.696 INFO: Using the key specifications to parse data:
2025-10-07 00:57:32.697 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-07 00:57:32.697 INFO: =============    Processing head Default     ===========
2025-10-07 00:57:35.323 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 00:57:35.326 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-07 00:57:37.476 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 00:57:37.478 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-07 00:57:39.409 INFO: Test set 1/1 [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 00:57:39.413 INFO: Total Test set [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-07 00:57:39.414 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 389],
2025-10-07 00:57:39.421 INFO: Atomic Numbers used: [8, 72]
2025-10-07 00:57:39.422 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-07 00:57:39.423 INFO: Atomic Energies used (z: eV) for head Default: {8: -444.4382601985303, 72: -1528.3129784907499}
2025-10-07 00:57:39.424 INFO: Processing datasets for head 'Default'
2025-10-07 00:57:41.781 INFO: Combining 1 list datasets for head 'Default'
2025-10-07 00:57:42.445 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-07 00:57:42.446 INFO: Combined validation datasets for Default
2025-10-07 00:57:42.447 INFO: Head 'Default' training dataset size: 361
2025-10-07 00:57:42.448 INFO: Computing average number of neighbors
2025-10-07 00:57:42.781 INFO: Average number of neighbors: 59.332753814334104
2025-10-07 00:57:42.782 INFO: During training the following quantities will be reported: energy, forces
2025-10-07 00:57:42.783 INFO: ===========MODEL DETAILS===========
2025-10-07 00:57:42.965 INFO: Building model
2025-10-07 00:57:42.967 INFO: Message passing with 128 channels and max_L=1 (128x0e + 128x1o)
2025-10-07 00:57:42.967 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-07 00:57:42.968 INFO: 8 radial and 5 basis functions
2025-10-07 00:57:42.969 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-07 00:57:42.970 INFO: Distance transform for radial basis functions: None
2025-10-07 00:57:42.971 INFO: Hidden irreps: 128x0e + 128x1o
2025-10-07 00:57:44.615 INFO: Total number of parameters: 655248
2025-10-07 00:57:44.617 INFO: 
2025-10-07 00:57:44.617 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-07 00:57:44.618 INFO: Using ADAM as parameter optimizer
2025-10-07 00:57:44.619 INFO: Batch size: 14
2025-10-07 00:57:44.620 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-07 00:57:44.620 INFO: Number of gradient updates: 25785
2025-10-07 00:57:44.621 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-10-07 00:57:44.622 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-07 00:57:44.623 INFO: Converting model to CUEQ for accelerated training
2025-10-07 00:57:44.731 INFO: Creating new model with cuequivariance settings
2025-10-07 00:57:50.302 INFO: Stage Two (after 750 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-07 00:57:50.402 INFO: Using Weights and Biases for logging
2025-10-07 00:57:52.382 INFO: Using gradient clipping with tolerance=10.000
2025-10-07 00:57:52.384 INFO: 
2025-10-07 00:57:52.385 INFO: ===========TRAINING===========
2025-10-07 00:57:52.386 INFO: Started training, reporting errors on validation set
2025-10-07 00:57:52.387 INFO: Loss metrics on validation set
2025-10-07 00:58:48.984 INFO: Initial: head: Default, loss=18.08553260, RMSE_E_per_atom= 7283.77 meV, RMSE_F= 1131.70 meV / A
2025-10-07 01:02:31.211 INFO: Epoch 0: head: Default, loss=8.53778785, RMSE_E_per_atom= 5444.60 meV, RMSE_F=  747.86 meV / A
2025-10-07 01:03:51.506 INFO: Epoch 1: head: Default, loss=7.90780558, RMSE_E_per_atom= 5258.83 meV, RMSE_F=  717.53 meV / A
2025-10-07 01:03:55.284 INFO: Epoch 2: head: Default, loss=3.55448009, RMSE_E_per_atom= 2004.63 meV, RMSE_F=  558.11 meV / A
2025-10-07 01:03:59.101 INFO: Epoch 3: head: Default, loss=2.11811212, RMSE_E_per_atom=  805.42 meV, RMSE_F=  450.74 meV / A
2025-10-07 01:04:03.308 INFO: Epoch 4: head: Default, loss=1.54841416, RMSE_E_per_atom=  565.87 meV, RMSE_F=  387.58 meV / A
2025-10-07 01:04:07.131 INFO: Epoch 5: head: Default, loss=1.24389355, RMSE_E_per_atom=  480.91 meV, RMSE_F=  347.82 meV / A
2025-10-07 01:04:10.930 INFO: Epoch 6: head: Default, loss=1.08002922, RMSE_E_per_atom=  386.31 meV, RMSE_F=  324.72 meV / A
2025-10-07 01:04:14.700 INFO: Epoch 7: head: Default, loss=0.97212090, RMSE_E_per_atom=  369.02 meV, RMSE_F=  307.99 meV / A
2025-10-07 01:04:18.484 INFO: Epoch 8: head: Default, loss=0.89744017, RMSE_E_per_atom=  338.97 meV, RMSE_F=  296.25 meV / A
2025-10-07 01:04:22.292 INFO: Epoch 9: head: Default, loss=0.82768344, RMSE_E_per_atom=  298.04 meV, RMSE_F=  284.86 meV / A
2025-10-07 01:04:26.082 INFO: Epoch 10: head: Default, loss=0.77663100, RMSE_E_per_atom=  258.37 meV, RMSE_F=  276.16 meV / A
2025-10-07 01:04:29.655 INFO: Epoch 11: head: Default, loss=0.78817280, RMSE_E_per_atom=  302.59 meV, RMSE_F=  277.89 meV / A
2025-10-07 01:04:33.331 INFO: Epoch 12: head: Default, loss=0.73554832, RMSE_E_per_atom=  261.54 meV, RMSE_F=  268.75 meV / A
2025-10-07 01:04:37.129 INFO: Epoch 13: head: Default, loss=0.69477239, RMSE_E_per_atom=  223.56 meV, RMSE_F=  261.58 meV / A
2025-10-07 01:04:41.252 INFO: Epoch 14: head: Default, loss=0.66586554, RMSE_E_per_atom=  217.84 meV, RMSE_F=  256.13 meV / A
2025-10-07 01:04:44.996 INFO: Epoch 15: head: Default, loss=0.64241312, RMSE_E_per_atom=  203.92 meV, RMSE_F=  251.66 meV / A
2025-10-07 01:04:48.750 INFO: Epoch 16: head: Default, loss=0.61843878, RMSE_E_per_atom=  185.96 meV, RMSE_F=  247.04 meV / A
2025-10-07 01:04:52.546 INFO: Epoch 17: head: Default, loss=0.59458669, RMSE_E_per_atom=  178.67 meV, RMSE_F=  242.23 meV / A
2025-10-07 01:04:56.280 INFO: Epoch 18: head: Default, loss=0.57459111, RMSE_E_per_atom=  164.04 meV, RMSE_F=  238.22 meV / A
2025-10-07 01:05:00.076 INFO: Epoch 19: head: Default, loss=0.55248288, RMSE_E_per_atom=  157.16 meV, RMSE_F=  233.59 meV / A
2025-10-07 01:05:03.876 INFO: Epoch 20: head: Default, loss=0.53558194, RMSE_E_per_atom=  143.53 meV, RMSE_F=  230.07 meV / A
2025-10-07 01:05:07.470 INFO: Epoch 21: head: Default, loss=0.53017760, RMSE_E_per_atom=  128.85 meV, RMSE_F=  228.99 meV / A
2025-10-07 01:05:11.215 INFO: Epoch 22: head: Default, loss=0.50787483, RMSE_E_per_atom=  123.22 meV, RMSE_F=  224.15 meV / A
2025-10-07 01:05:15.024 INFO: Epoch 23: head: Default, loss=0.48912764, RMSE_E_per_atom=  113.77 meV, RMSE_F=  220.01 meV / A
2025-10-07 01:05:18.827 INFO: Epoch 24: head: Default, loss=0.47382096, RMSE_E_per_atom=  111.39 meV, RMSE_F=  216.55 meV / A
2025-10-07 01:05:22.601 INFO: Epoch 25: head: Default, loss=0.46040945, RMSE_E_per_atom=  107.37 meV, RMSE_F=  213.45 meV / A
2025-10-07 01:05:26.437 INFO: Epoch 26: head: Default, loss=0.44583981, RMSE_E_per_atom=  107.14 meV, RMSE_F=  210.01 meV / A
2025-10-07 01:05:30.196 INFO: Epoch 27: head: Default, loss=0.43207242, RMSE_E_per_atom=  102.19 meV, RMSE_F=  206.75 meV / A
2025-10-07 01:05:33.955 INFO: Epoch 28: head: Default, loss=0.42108788, RMSE_E_per_atom=  104.36 meV, RMSE_F=  204.08 meV / A
2025-10-07 01:05:37.814 INFO: Epoch 29: head: Default, loss=0.40936069, RMSE_E_per_atom=  101.07 meV, RMSE_F=  201.18 meV / A
2025-10-07 01:05:41.586 INFO: Epoch 30: head: Default, loss=0.39830556, RMSE_E_per_atom=   97.24 meV, RMSE_F=  198.43 meV / A
2025-10-07 01:05:45.160 INFO: Epoch 31: head: Default, loss=0.39390027, RMSE_E_per_atom=   97.93 meV, RMSE_F=  197.30 meV / A
2025-10-07 01:05:48.988 INFO: Epoch 32: head: Default, loss=0.38552625, RMSE_E_per_atom=   96.47 meV, RMSE_F=  195.19 meV / A
