2025-10-08 10:23:49.428 INFO: ===========VERIFYING SETTINGS===========
2025-10-08 10:23:49.430 INFO: MACE version: 0.3.14
2025-10-08 10:23:49.517 INFO: CUDA version: 12.6, CUDA device: 0
2025-10-08 10:23:49.521 INFO: ===========LOADING INPUT DATA===========
2025-10-08 10:23:49.522 INFO: Using heads: ['Default']
2025-10-08 10:23:49.523 INFO: Using the key specifications to parse data:
2025-10-08 10:23:49.523 INFO: Default: KeySpecification(info_keys={'energy': 'REF_energy', 'stress': 'REF_stress', 'virials': 'REF_virials', 'dipole': 'dipole', 'head': 'head', 'elec_temp': 'elec_temp', 'total_charge': 'total_charge', 'polarizability': 'polarizability', 'total_spin': 'total_spin'}, arrays_keys={'forces': 'REF_forces', 'charges': 'REF_charges'})
2025-10-08 10:23:49.524 INFO: =============    Processing head Default     ===========
2025-10-08 10:23:52.261 INFO: Training set 1/1 [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-08 10:23:52.264 INFO: Total Training set [energy: 361, stress: 361, virials: 0, dipole components: 0, head: 361, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 361, charges: 0]
2025-10-08 10:23:54.565 INFO: Validation set 1/1 [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-08 10:23:54.567 INFO: Total Validation set [energy: 90, stress: 90, virials: 0, dipole components: 0, head: 90, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 90, charges: 0]
2025-10-08 10:23:56.672 INFO: Test set 1/1 [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-08 10:23:56.676 INFO: Total Test set [energy: 389, stress: 389, virials: 0, dipole components: 0, head: 389, elec_temp: 0, total_charge: 0, polarizability: 0, total_spin: 0, forces: 389, charges: 0]
2025-10-08 10:23:56.677 INFO: Total number of configurations: train=361, valid=90, tests=[Default_Default: 389],
2025-10-08 10:23:56.684 INFO: Atomic Numbers used: [8, 72]
2025-10-08 10:23:56.685 INFO: Isolated Atomic Energies (E0s) not in training file, using command line argument
2025-10-08 10:23:56.686 INFO: Atomic Energies used (z: eV) for head Default: {8: -444.4382601985303, 72: -1528.3129784907499}
2025-10-08 10:23:56.687 INFO: Processing datasets for head 'Default'
2025-10-08 10:23:59.074 INFO: Combining 1 list datasets for head 'Default'
2025-10-08 10:23:59.729 INFO: Combining 1 list datasets for head 'Default_valid'
2025-10-08 10:23:59.730 INFO: Combined validation datasets for Default
2025-10-08 10:23:59.731 INFO: Head 'Default' training dataset size: 361
2025-10-08 10:23:59.733 INFO: Computing average number of neighbors
2025-10-08 10:24:00.086 INFO: Average number of neighbors: 59.332753814334104
2025-10-08 10:24:00.087 INFO: During training the following quantities will be reported: energy, forces
2025-10-08 10:24:00.088 INFO: ===========MODEL DETAILS===========
2025-10-08 10:24:00.248 INFO: Building model
2025-10-08 10:24:00.249 INFO: Message passing with 128 channels and max_L=0 (128x0e)
2025-10-08 10:24:00.250 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-10-08 10:24:00.251 INFO: 8 radial and 5 basis functions
2025-10-08 10:24:00.252 INFO: Radial cutoff: 6.0 A (total receptive field for each atom: 12.0 A)
2025-10-08 10:24:00.252 INFO: Distance transform for radial basis functions: None
2025-10-08 10:24:00.253 INFO: Hidden irreps: 128x0e
2025-10-08 10:24:01.736 INFO: Total number of parameters: 460176
2025-10-08 10:24:01.737 INFO: 
2025-10-08 10:24:01.738 INFO: ===========OPTIMIZER INFORMATION===========
2025-10-08 10:24:01.739 INFO: Using ADAM as parameter optimizer
2025-10-08 10:24:01.739 INFO: Batch size: 14
2025-10-08 10:24:01.740 INFO: Using Exponential Moving Average with decay: 0.99
2025-10-08 10:24:01.741 INFO: Number of gradient updates: 6446
2025-10-08 10:24:01.742 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-10-08 10:24:01.742 INFO: WeightedEnergyForcesLoss(energy_weight=1.000, forces_weight=100.000)
2025-10-08 10:24:01.743 INFO: Converting model to CUEQ for accelerated training
2025-10-08 10:24:01.837 INFO: Creating new model with cuequivariance settings
2025-10-08 10:24:05.552 INFO: Stage Two (after 186 epochs) with loss function: WeightedEnergyForcesLoss(energy_weight=1000.000, forces_weight=100.000), with energy weight : 1000.0, forces weight : 100.0 and learning rate : 0.001
2025-10-08 10:24:05.619 INFO: Using Weights and Biases for logging
2025-10-08 10:24:07.736 INFO: Using gradient clipping with tolerance=10.000
2025-10-08 10:24:07.738 INFO: 
2025-10-08 10:24:07.739 INFO: ===========TRAINING===========
2025-10-08 10:24:07.740 INFO: Started training, reporting errors on validation set
2025-10-08 10:24:07.741 INFO: Loss metrics on validation set
2025-10-08 10:24:30.469 INFO: Initial: head: Default, loss=17.97107047, RMSE_E_per_atom= 7286.39 meV, RMSE_F= 1126.50 meV / A
2025-10-08 10:25:10.206 INFO: Epoch 0: head: Default, loss=8.78997280, RMSE_E_per_atom= 5645.41 meV, RMSE_F=  748.57 meV / A
2025-10-08 10:25:28.026 INFO: Epoch 1: head: Default, loss=8.39532156, RMSE_E_per_atom= 5541.78 meV, RMSE_F=  729.11 meV / A
2025-10-08 10:25:31.128 INFO: Epoch 2: head: Default, loss=4.41252268, RMSE_E_per_atom= 3003.78 meV, RMSE_F=  588.73 meV / A
2025-10-08 10:25:34.342 INFO: Epoch 3: head: Default, loss=2.39846185, RMSE_E_per_atom= 1097.08 meV, RMSE_F=  474.59 meV / A
2025-10-08 10:25:37.473 INFO: Epoch 4: head: Default, loss=1.73364452, RMSE_E_per_atom=  575.73 meV, RMSE_F=  410.61 meV / A
2025-10-08 10:25:40.612 INFO: Epoch 5: head: Default, loss=1.48495794, RMSE_E_per_atom=  441.19 meV, RMSE_F=  381.39 meV / A
2025-10-08 10:25:43.809 INFO: Epoch 6: head: Default, loss=1.31244295, RMSE_E_per_atom=  337.31 meV, RMSE_F=  358.95 meV / A
2025-10-08 10:25:47.032 INFO: Epoch 7: head: Default, loss=1.14206708, RMSE_E_per_atom=  288.33 meV, RMSE_F=  334.83 meV / A
2025-10-08 10:25:50.166 INFO: Epoch 8: head: Default, loss=1.00219912, RMSE_E_per_atom=  264.66 meV, RMSE_F=  313.89 meV / A
2025-10-08 10:25:53.324 INFO: Epoch 9: head: Default, loss=0.90576013, RMSE_E_per_atom=  229.89 meV, RMSE_F=  298.74 meV / A
2025-10-08 10:25:56.499 INFO: Epoch 10: head: Default, loss=0.83984593, RMSE_E_per_atom=  194.24 meV, RMSE_F=  287.80 meV / A
2025-10-08 10:25:59.527 INFO: Epoch 11: head: Default, loss=0.81441057, RMSE_E_per_atom=  216.65 meV, RMSE_F=  283.31 meV / A
2025-10-08 10:26:02.607 INFO: Epoch 12: head: Default, loss=0.76519294, RMSE_E_per_atom=  208.52 meV, RMSE_F=  274.73 meV / A
2025-10-08 10:26:05.773 INFO: Epoch 13: head: Default, loss=0.72471793, RMSE_E_per_atom=  174.07 meV, RMSE_F=  267.54 meV / A
2025-10-08 10:26:09.004 INFO: Epoch 14: head: Default, loss=0.69604473, RMSE_E_per_atom=  189.21 meV, RMSE_F=  262.06 meV / A
2025-10-08 10:26:12.167 INFO: Epoch 15: head: Default, loss=0.66386167, RMSE_E_per_atom=  179.74 meV, RMSE_F=  255.90 meV / A
2025-10-08 10:26:15.282 INFO: Epoch 16: head: Default, loss=0.62940899, RMSE_E_per_atom=  149.79 meV, RMSE_F=  249.23 meV / A
2025-10-08 10:26:18.468 INFO: Epoch 17: head: Default, loss=0.59327114, RMSE_E_per_atom=  134.69 meV, RMSE_F=  241.89 meV / A
2025-10-08 10:26:21.716 INFO: Epoch 18: head: Default, loss=0.56423404, RMSE_E_per_atom=  123.63 meV, RMSE_F=  235.88 meV / A
2025-10-08 10:26:24.862 INFO: Epoch 19: head: Default, loss=0.54285450, RMSE_E_per_atom=  130.13 meV, RMSE_F=  231.57 meV / A
2025-10-08 10:26:27.954 INFO: Epoch 20: head: Default, loss=0.52682591, RMSE_E_per_atom=  134.79 meV, RMSE_F=  228.12 meV / A
2025-10-08 10:26:31.377 INFO: Epoch 21: head: Default, loss=0.52638092, RMSE_E_per_atom=  119.85 meV, RMSE_F=  228.13 meV / A
2025-10-08 10:26:34.586 INFO: Epoch 22: head: Default, loss=0.49593150, RMSE_E_per_atom=  109.82 meV, RMSE_F=  221.33 meV / A
2025-10-08 10:26:37.690 INFO: Epoch 23: head: Default, loss=0.47203998, RMSE_E_per_atom=   93.97 meV, RMSE_F=  215.94 meV / A
2025-10-08 10:26:40.934 INFO: Epoch 24: head: Default, loss=0.45407202, RMSE_E_per_atom=   99.84 meV, RMSE_F=  211.71 meV / A
2025-10-08 10:26:44.124 INFO: Epoch 25: head: Default, loss=0.43817859, RMSE_E_per_atom=   94.26 meV, RMSE_F=  207.95 meV / A
2025-10-08 10:26:47.299 INFO: Epoch 26: head: Default, loss=0.42437659, RMSE_E_per_atom=  100.06 meV, RMSE_F=  204.57 meV / A
2025-10-08 10:26:50.427 INFO: Epoch 27: head: Default, loss=0.41098536, RMSE_E_per_atom=   94.83 meV, RMSE_F=  201.32 meV / A
2025-10-08 10:26:53.569 INFO: Epoch 28: head: Default, loss=0.40031862, RMSE_E_per_atom=   99.03 meV, RMSE_F=  198.62 meV / A
2025-10-08 10:26:56.739 INFO: Epoch 29: head: Default, loss=0.38991507, RMSE_E_per_atom=  101.80 meV, RMSE_F=  195.97 meV / A
2025-10-08 10:26:59.893 INFO: Epoch 30: head: Default, loss=0.37864125, RMSE_E_per_atom=   94.83 meV, RMSE_F=  193.12 meV / A
2025-10-08 10:27:02.863 INFO: Epoch 31: head: Default, loss=0.37398436, RMSE_E_per_atom=   93.27 meV, RMSE_F=  191.95 meV / A
2025-10-08 10:27:06.028 INFO: Epoch 32: head: Default, loss=0.36681199, RMSE_E_per_atom=   96.06 meV, RMSE_F=  190.07 meV / A
